"name","start","end"
1,"Thiruvetriyur B.S","Thiruvanmiyur"
101,"Thiruvetriyur B.S","Poonamallee"
"101 Dlx","Thiruvetriyur B.S","Poonamallee"
"10A","Tollgate","Saidapet West"
11,"Broadway","T.Nagar"
114,"Red Hills","Vandaloor Zoo"
"114 Dlx","Red Hills","Vandaloor Zoo"
"116L","Broadway","Kodungaiyur(Parvathi Naga"
"118A","High Court","Oonamancheri"
"118P","Puzhithivakkam B.S","Guduvanchery"
"119 Dlx","Tollgate","Kovalam"
"11A","V. Nagar","T.Nagar"
"11A Dlx","V. Nagar","T.Nagar"
"11 Dlx","Broadway","T.Nagar"
"11G","Broadway","Kalaignar Nagar West"
"11G Dlx","Broadway","Kalaignar Nagar West"
"11H","Broadway","Ayyappan Thangal"
"11H Dlx","Broadway","Ayyappan Thangal"
12,"T.Nagar","V.House"
120,"Broadway","Avadi"
"120 Dlx","Broadway","Avadi"
"121C","Ennore","C.M.B.T."
"121G","Kaviarasu Kannadasan Naga","C.M.B.T."
"12B","Vadapalani B.S","Fore Shore Estate"
"12B Dlx","Vadapalani B.S","Fore Shore Estate"
"12B Ext","Fore Shore Estate","Koymabedu Market"
"12C","Saligraman","Mylapore"
"12G","Anna Square","Kalaignar Nagar"
"12G Dlx","Anna Square","Kalaignar Nagar"
13,"T.Nagar","Triplicane O.T (Corpn. Sc"
134,"Pattabiram","Thiruvetriyur B.S"
"134A","Thiruvetriyur B.S","Mogapair West"
138,"Ennore","Muthamil Nagar"
"138A","Periyar Nagar","Thiruvetriyur B.S"
"13 Dlx","T.Nagar","Triplicane O.T (Corpn. Sc"
"147C Dlx","Ambathur OT","T.Nagar"
15,"Broadway","Anna Nagar"
151,"High Court","Vengaivasal P.H.Centre"
"152B","Broadway","Hasthinapuram"
"152L Dlx","High Court","Nanganallur"
153,"Broadway","Thirumalisai"
"153 Dlx","Broadway","Thirumalisai"
154,"T.Nagar","Pattur"
"154A Dlx","T.Nagar","Thirunindravoor Rly.Stn."
"155A","High Court","Thirumudivakkam"
157,"Thiruvetriyur B.S","Red Hills"
159,"Thiruvetriyur B.S","Thiruverkadu"
"159A Dlx","Thiruvetriyur B.S","C.M.B.T."
"159A Ext","Ennore","C.M.B.T."
"159AN","Thiruvetriyur B.S","C.M.B.T."
"159C","Thiruvetriyur B.S","Koymabedu Market"
"159E","Ennore","C.M.B.T."
"15B","Broadway","C.M.B.T."
"15B AC","Broadway","C.M.B.T."
"15B Dlx","Broadway","C.M.B.T."
"15B Ext","C.M.B.T.","Ennore"
"15F","Broadway","Vadapalani B.S"
"15G","Broadway","M.M.D.A.Colony"
"15G Dlx","Broadway","M.M.D.A.Colony"
"15L","Broadway","Ambathur OT"
"166 Dlx","Ayyappan Thangal","Tambaram"
17,"Broadway","Vadapalani B.S"
170,"Thiruverkadu","Tambaram"
"170A","Madhavaram Village","Vandaloor Zoo"
"170A Dlx","Madhavaram Village","Vandaloor Zoo"
"170C Dlx","T.V.K.Nagar","Guindy Tvk Estate"
"170CE","Manali","Guindy Tvk Estate"
"170 Dlx","Thiruverkadu","Tambaram"
"170E","I.O.C","Tambaram"
