"route_name","stop_name","sequence"
"M57G","Red Hills",100
"M57G","Padiyanallur",200
"M57G","Semilivaram",300
"M57G","Jn.Of.Orakadu Rd & S/Vara",400
"M57G","Sozhipalayam",500
"M57G","Orakkadu",600
"M57G","Budur",700
"M57G","Arumandai Rd.Jn.",800
"M57G","Thirunillai Rd.Jn.",900
"M57G","Periamullaivoyal",1000
"M57G","Vazhuthunaimedu",1100
"M57D","Broadway",100
"M57D","Parrys",200
"M57D","Clive Battery",300
"M57D","V. Nagar",400
"M57D","Vyasarpadi",500
"M57D","Sarma Nagar",600
"M57D","Moolakadai",700
"M57D","Madhavaram",800
"M57D","Cycle Shop",900
"M57D","Kavangarai",1000
"M57D","Aayurveda Ashramam",1100
"M57D","Red Hills",1200
"M57D","Pammadu Kulam Rd.Jn.",1300
"M57D","Jn.Of Race Course Rd",1400
"M57D","Alamadhi Old",1500
"M57D","Alamadhi Cattle Farm",1600
"M57D","Alamadhi",1700
"M57D","Ambedkar Nagar",1800
"M57D","Poochiathibedu",1900
"29K","C.M.B.T.",100
"29K","Arumbakkam",200
"29K","Naduvankarai",300
"29K","Aminijikarai",400
"29K","Taylors Road",500
"29K","Sterling Rd/Meteorology D",600
"29K","U.S.I.S.",700
"29K","Y.M.I.A",800
"29K","Mandaveli",900
"M57A","V. Nagar",100
"M57A","Vyasarpadi",200
"M57A","Sarma Nagar",300
"M57A","Moolakadai",400
"M57A","Madhavaram",500
"M57A","Cycle Shop",600
"M57A","Kavangarai",700
"M57A","Aayurveda Ashramam",800
"M57A","Red Hills",900
"M57A","Padiyanallur",1000
"M57A","Siruniam Rd.Jn.",1100
"M57A","Angadu",1200
"47D","Thiruvanmiyur",100
"47D","Adayar Depot",200
"47D","Adayar B.S.",300
"47D","Eng.College",400
"47D","Concorde",500
"47D","Saidapet",600
"47D","Vivek & Co (Krishnan Koil",800
"47D","Vidyodaya",900
"47D","Sterling Road",1000
"47D","Nungambakkam R.S",1100
"47D","Hotel Arun",1200
"47D","Anna Nagar Circle",1300
"47D","Thirumangalam",1400
"47D","Lucas Tvs",1500
"47D","Ambathur Estate",1600
"47D","Dunlop",1700
"47D","Ambathur OT",1800
"47D","Thirumullaivoayl",1900
"47D","Polytechnic",2000
"47D","Avadi",2100
"29E","Perambur B.S",100
"29E","Jamalaya",200
"29E","Dasamahan",300
"29E","Doveton",400
"29E","Kelleys",500
"29E","Kilpauk Garden",600
"29E","Aminijikarai",700
"29E","Naduvankarai",800
"29E","Arumbakkam",900
"29E","Nerkundram",1000
"29E","Maduravoyal",1100
"29E","Vaanagaram",1200
"29E","Velappanchavadi",1300
"29E","Thiruverkadu",1400
"21H","Broadway",100
"29A","Perambur B.S",100
"29A","Jamalaya",200
"29A","Dasamahan",300
"29A","Doveton",400
"29A","Dharmaprakash/Petrol Bunk",500
"29A","Egmore",600
"29A","Anna Poorna Hotel/Dams Rd",700
"29A","Triplicane",800
"29A","Anna Square",900
"21H","Secretariat",200
"21L","Velachery",1200
"21H","Chepauk",300
"21H","Q.M.C",400
"PP66 Dlx","Vandaloor Zoo",100
"PP66 Dlx","Vandaloor",200
"PP66 Dlx","Perungulathur",300
"PP66 Dlx","Irumbuliyur",400
"PP66 Dlx","Tambaram",500
"PP66 Dlx","T.B.Sanatorium",600
"PP66 Dlx","Chrompet",700
"PP66 Dlx","Pallavaram",800
"PP66 Dlx","Pammal",900
"PP66 Dlx","Anakaputhur",1000
"PP66 Dlx","Andakuppam",1100
"PP66 Dlx","Kundrathur B.S",1200
"PP66 Dlx","Kollaicheri",1300
"PP66 Dlx","Sikkaravaram",1400
"PP66 Dlx","Mangadu",1500
"PP66 Dlx","Kumunanchavadi",1600
"PP66 Dlx","Poonamallee",1700
"21H","Fore Shore Estate",500
"21G","Mandaveli",600
"37D","Choolai P.O",300
"37D","Lady Mctm School/Millers",400
"37D","K.M.C",500
"37D","Sterling Rd./Metrolog. De",600
"37D","Veterinary Hospital",800
"37D","Trustpuram",900
"37D","Pudur High School",1000
"37D","Jn.Of P.T.R Rd/Kamaraj Rd",1100
"37D","Muthumariamman Koil",1200
"37D","Kalaignar Nagar",1300
"21H","A.M.S.Hospital",600
"21L","Broadway",100
"21L","Secretariat",200
"21L","Chepauk",300
"21L","Q.M.C",400
"21L","A.M.S.Hospital",600
"21L","Adayar B.S.",700
"21L","Eng.College",800
"21L","Concorde",900
"21L","Jn.Of Race Course Rd",1000
"21L","Gurunanak College",1100
"21G","Broadway",100
"21G","Secretariat",200
"21G","Chepauk",300
"21G","Q.M.C",400
"21G","Adyar Gate",700
"21G","Kotturpuram",800
"21G","Eng.College",900
"29C","Perambur R.S",100
"29C","Jamalaya",200
"29C","Shivashanmugapuram",300
"29C","Lady Mctm School/Millers",400
"29C","K.M.C",500
"29C","Sterling Rd/Meteorology D",600
"29C","U.S.I.S.",700
"29C","Devanathan St / Mandaveli",900
"29C","A.M.S.Hospital",1000
"29C","Adayar B.S.",1100
"29C","Adayar Depot",1200
"29C","Besant Nagar",1300
"37D","Regal",200
"21H","Adayar O.T.",700
"21H","Indira Nagar Water Tank",800
"21H","Lattice Bridge Rd. Jn.",900
"21H","Kandanchavadi",1000
"21H","Mootakaran Chavadi",1200
"21H","Karapakkam",1300
"21H","Sozhinganallur P.U.Office",1400
"21H","Kumaran Nagar",1500
"21H","Semmanchery",1600
"21H","Navalur",1700
"21H","Church",1800
"21H","Palavasthic Chemicals",1900
"21H","Hindustal Egg. College",2000
53,"Taylors Road",400
"G18 Dlx","Saidapet",200
"G18 Dlx","Concorde",300
"G18 Dlx","Guindy R.S",400
"G18 Dlx","St Thomas Mount Po",500
"G18 Dlx","Menamabakkam Old Airport",600
"G18 Dlx","Thirusoolam National Airp",700
"G18 Dlx","Pallavaram",800
"G18 Dlx","Chrompet",900
"G18 Dlx","T.B.Sanatorium",1000
"G18 Dlx","Tambaram",1100
"G18 Dlx","Irumbuliyur",1200
"G18 Dlx","Perungulathur",1300
"G18 Dlx","Vandaloor",1400
"G18 Dlx","Vandaloor Zoo",1500
"G18 Dlx","Oorapakkam School",1600
"G18 Dlx","Palakka Company",1700
"G18 Dlx","Guduvanchery",1800
500,"Saidapet",200
500,"Concorde",300
500,"Guindy R.S",400
500,"St Thomas Mount Po",500
500,"Menamabakkam Old Airport",600
500,"Thirusoolam National Airp",700
500,"Pallavaram",800
500,"Chrompet",900
500,"T.B.Sanatorium",1000
500,"Tambaram",1100
500,"Irumbuliyur",1200
500,"Perungulathur",1300
500,"Vandaloor",1400
500,"Vandaloor Zoo",1500
500,"Oorapakkam School",1600
500,"Palakka Company",1700
500,"Guduvanchery",1800
500,"Thailapuram",1900
500,"Maraimalai Nagar",2000
500,"Ford",2100
500,"Malrosapuram",2200
500,"S.P.Koil",2300
500,"Mahendra City(Chetty Punn",2400
500,"Pulipakkam",2500
500,"Chenglepet O.T.",2600
500,"Chenglepet N.T.",2700
"M57C","V. Nagar",100
"M57C","Vyasarpadi",200
"M57C","Sarma Nagar",300
"M57C","Moolakadai",400
"M57C","Madhavaram",500
"M57C","Cycle Shop",600
"M57C","Kavangarai",700
"M57C","Aayurveda Ashramam",800
"M57C","Red Hills",900
"M57C","Azhinjivakkam Rd.Jn.",1000
"M57C","Kummanur",1100
"M57C","Budur",1200
"M57C","Arumandai Rd.Jn.",1300
"M57C","Pudukuppam",1400
"M57C","Gnayaru",1500
"170T Dlx","Kaviarasu Kannadasan Naga",100
"170T Dlx","Sidco",200
"170T Dlx","Sarma Nagar",300
"170T Dlx","Moolakadai",400
"170T Dlx","Madhavaram",500
"170T Dlx","Madhavaram Junction",600
"170T Dlx","Malligai Nagar Ave",700
"170T Dlx","Water Pipe Thanthankuppam",800
"170T Dlx","Weels India Rd.Jn.",900
"170T Dlx","Thirumangalam",1000
"170T Dlx","Koyambedu School",1100
"170T Dlx","M.M.D.A.Colony Rd.Jn.",1200
"170T Dlx","Jn Of Iii And 1St Ave",1300
"170T Dlx","Jaffarkhan Pet",1400
"170T Dlx","Cipet",1500
"170T Dlx","St Thomas Mount Po",1600
"170T Dlx","Menamabakkam Old Airport",1700
"170T Dlx","Thirusoolam National Airp",1800
"170T Dlx","Pallavaram",1900
"170T Dlx","Chrompet",2000
"170T Dlx","T.B.Sanatorium",2100
"170T Dlx","Tambaram",2200
"170T Dlx","Perungulathur",2300
"170T Dlx","Vandaloor",2400
"170T Dlx","Vandaloor Zoo",2500
"A45B","Anna Square",100
"A45B","Triplicane",200
"A45B","V.House",300
"A45B","Y.M.I.A",400
"A45B","Luz",500
"A45B","F.C.I Old",600
"A45B","S.H.B",700
"A45B","Saidapet",800
"A45B","Concorde",900
"A45B","Guindy Tvk Estate",1000
"M154B","Nanganallur",100
"M154B","Chidambaram Stores",200
"M154B","Vanuvambedu",300
"M154B","St Thomas Mount R.S",400
"M154B","Burial Ground",500
"M154B","St Thomas Mount Po",600
"M154B","Butt Road",700
"M154B","Ramapuram",800
"M154B","Mogalivakkam",900
"M154B","Porur",1000
"M154B","Ayyappan Thangal",1100
