"name","latitude","longitude"
"100 Feet Road Jn.",,
"2Nd Water Tank On Second",13.0989572373,80.1323890686
"Aafs Cross Road",13.1664946423,80.0981426239
"Aaya Kolathur",13.0025297261,79.9330953376
"Aayurveda Ashramam",13.1821225553,80.192899704
"Abirami Madam",13.355852873,80.2923774719
"Adambakkam P.S",12.9894203773,80.2020406723
"Adayar B.S.",13.0064230566,80.256933815
"Adayar Depot",12.9983213952,80.2561184235
"Adayar O.T.",13.0064446246,80.2575109635
"Adi Dravidar Hostel",13.2188901753,80.0143718719
"Adyar Gate",13.0292689771,80.2477455139
"Agaram",13.1125832333,80.2312660217
"Agaram Mel",13.038843394,80.0814914703
"Agaram Then",12.8855247651,80.1545333862
"A.G.S Office Colony",12.9829804437,80.2102160454
"Airforce Station",13.1514507895,80.089430809
"Alagesa Nagar",12.9869949673,80.064239502
"Alamadhi",13.2060221379,80.1165962219
"Alamadhi Cattle Farm",13.2030139275,80.1296424866
"Alamadhi Old",13.2010084332,80.1438903809
"Alandur",12.9982691255,80.1918312378
"Alandur Depot",12.9969369068,80.190437436
"Alandur Municipality",13.0056867385,80.2023727927
"Alapakkam",12.8869680557,80.1069885493
"Alapakkam Koot Road",,
"Alwar Thirunagar",13.0398886136,80.1860332489
"Amarambedu",13.4119959147,80.0151443481
"Amarambedu Chatram",12.9682599689,80.0235128403
"Amarambedu Road",12.9495235596,80.0366878509
"Amarambedu Village",12.958306427,80.0201654434
"Ambathur",13.1216528798,80.1486110688
"Ambathur Estate",13.0997096125,80.1698970795
"Ambathur OT",13.1196885147,80.1500272751
"Ambedkar Nagar",13.2098659085,80.1018333435
"Aminijikarai",13.0739812536,80.2247160673
"Amman Kulam",13.2063563812,80.2500629425
"Ammur Colony",,
"A.M.S.Hospital",13.0164746367,80.2596330643
"Anaicutche",13.1045581981,80.0586605072
"Anakaputhur",12.9834822627,80.1265525818
"Ananda Nagar",12.9801786023,80.102455616
"Andakuppam",13.1919730598,80.2695304155
"Andersonpet",13.0781406098,80.025100708
"Angadu",13.2248226133,80.1868057251
"Angalamman Koil",13.0318194038,80.1833724976
