"Original Name","Normalized Name"
"100 Feet Road Jn.",
"2Nd Water Tank On Second",
"Aafs Cross Road",
"Aaya Kolathur",
"Aayurveda Ashramam",
"Abirami Madam",
"Adambakkam P.S","Adambakkam Police Station"
"Adayar B.S.","Adayar Bus Stand"
"Adayar Depot",
"Adayar O.T.",
"Adi Dravidar Hostel",
"Adyar Gate",
"Agaram",
"Agaram Mel",
"Agaram Then",
"A.G.S Office Colony",
"Airforce Station",
"Alagesa Nagar",
"Alamadhi",
"Alamadhi Cattle Farm",
"Alamadhi Old",
"Alandur",
"Alandur Depot",
"Alandur Municipality",
"Alapakkam",
"Alapakkam Koot Road",
"Alwar Thirunagar",
"Amarambedu",
"Amarambedu Chatram",
"Amarambedu Road",
"Amarambedu Village",
"Ambathur",
"Ambathur Estate",
"Ambathur OT",
"Ambedkar Nagar",
"Aminijikarai",
"Amman Kulam",
"Ammur Colony",
"A.M.S.Hospital",
"Anaicutche",
"Anakaputhur",
"Ananda Nagar",
"Andakuppam",
"Andersonpet",
"Angadu",
"Angalamman Koil",
"Anjathamman Koil",
"Anjugam School",
"Annai Sivakami Nagar",
"Annambedu",
"Anna Nagar",
"Anna Nagar Circle",
"Anna Nagar Colony",
"Anna Nagar East",
"Anna Nagar West",
"Anna Poorna Hotel/Dams Rd",
"Anna Road P.O./Dams Road",
"Anna Square",
"Anna University",
"Arakkambakkam",
"Arakkambakkam Rd.Jn.",
"Arani",
"Aranvoyal",
"Aranvoyal Kuppam",
"Arasankazhani",
"Ariyalur",
"Ariyapakkam",
"Arumandai Rd.Jn.",
"Arumbakkam",
"Ashok Leyland",
"Ashok Leyland Mark.Div.",
"Athipet I.C.F. Colony",
"Athipet Jn",
"Athupakkam",
"Athur",
"Avadi",
"Avadi Circle",
"Avadi Mosque",
"Avadi Road Jn.",
"A.V.Construction",
"Avvai Home",
"Ayalchery",
"Ayanallur",
"Ayanambakkam",
"Ayanavaram B.S","Ayanavaram Bus Stand"
"Ayapakkam",
"Ayyappa Nagar",
"Ayyappan Madam",
"Ayyappan Thangal",
"Azhinjivakkam Rd.Jn.",
"Azhinjivakkam Village",
"Balaji Nagar",
"Beemanthangal",
"Besant Nagar",
"Besant Nagar W.Tank",
"Bharatha Matha St",
"Bharath Electronics",
"Bharathi Nagar",
"Bhondhur",
"Borosil Company",
"Brindavan Colony",
"Broadway",
"Budur",
"Builders Industry",
"Burial Ground",
"Burmah Shell Petrol Bunk",
"Butt Road",
"Camp",
"Camp Road",
"Cemetry (Mandaveli)",
"Central",
"Chathiram",
"Chembakkam Junction",
"Chembakkam Village",
"Chembarambakkam",
"Chengammal Koot Road",
"Chenglepet N.T.",
"Chenglepet O.T.",
"Chepauk",
"Chetpet",
"Chettimedu",
"Chettipedu",
"Chevvaipettai R.S.",
"Chidambaram Stores",
"Chinambedu Colony",
"Chinmaya Nagar",
"Chinna Kodungaiyur",
"Chinnakuvanam",
"Chinnambedu Village",
"Chiruthavoor Jn.",
"Chitlapakkam",
"Chitlapakkam B.S","Chitlapakkam Bus Stand"
"Chittukadu",
"Chola Mandal",
"Choolai Mill",
"Choolai P.O",
"Christian Hospital",
"Chromepet Lakshmipuram",
"Chrompet",
"Church",
"Cipet",
"C.I.T.Colony",
"Clive Battery",
"C.M.B.T.",
"Collector Nagar",
"Concorde",
"Concrete Company",
"Convent",
"Corborundum Universal",
"Coronation Nagar",
"Corpn. Play Ground",
"Corporation Office/Sterli",
"Corporation School/Office",
